,Unnamed: 0,O_ID,O_Time,usage,Hour,year
4863941,4863941,2102,2018-07-12 15:00:00,2,15:00:00,2018
4863942,4863942,2102,2018-07-12 16:00:00,4,16:00:00,2018
4863943,4863943,2102,2018-07-12 17:00:00,6,17:00:00,2018
4863944,4863944,2102,2018-07-12 18:00:00,11,18:00:00,2018
4863945,4863945,2102,2018-07-12 19:00:00,22,19:00:00,2018
4863946,4863946,2102,2018-07-12 20:00:00,27,20:00:00,2018
4863947,4863947,2102,2018-07-12 21:00:00,16,21:00:00,2018
4863948,4863948,2102,2018-07-12 22:00:00,16,22:00:00,2018
4863949,4863949,2102,2018-07-12 23:00:00,14,23:00:00,2018
4863950,4863950,2102,2018-07-13 00:00:00,21,00:00:00,2018
4863951,4863951,2102,2018-07-13 01:00:00,12,01:00:00,2018
4863952,4863952,2102,2018-07-13 02:00:00,8,02:00:00,2018
4863953,4863953,2102,2018-07-13 03:00:00,6,03:00:00,2018
4863954,4863954,2102,2018-07-13 04:00:00,5,04:00:00,2018
4863955,4863955,2102,2018-07-13 05:00:00,1,05:00:00,2018
4863956,4863956,2102,2018-07-13 06:00:00,2,06:00:00,2018
4863957,4863957,2102,2018-07-13 07:00:00,1,07:00:00,2018
4863958,4863958,2102,2018-07-13 08:00:00,5,08:00:00,2018
4863959,4863959,2102,2018-07-13 09:00:00,3,09:00:00,2018
4863960,4863960,2102,2018-07-13 10:00:00,2,10:00:00,2018
4863961,4863961,2102,2018-07-13 11:00:00,3,11:00:00,2018
4863962,4863962,2102,2018-07-13 12:00:00,2,12:00:00,2018
4863963,4863963,2102,2018-07-13 13:00:00,3,13:00:00,2018
4863964,4863964,2102,2018-07-13 14:00:00,2,14:00:00,2018
4863965,4863965,2102,2018-07-13 15:00:00,0,15:00:00,2018
4863966,4863966,2102,2018-07-13 16:00:00,1,16:00:00,2018
4863967,4863967,2102,2018-07-13 17:00:00,6,17:00:00,2018
4863968,4863968,2102,2018-07-13 18:00:00,16,18:00:00,2018
4863969,4863969,2102,2018-07-13 19:00:00,24,19:00:00,2018
4863970,4863970,2102,2018-07-13 20:00:00,21,20:00:00,2018
4863971,4863971,2102,2018-07-13 21:00:00,20,21:00:00,2018
4863972,4863972,2102,2018-07-13 22:00:00,21,22:00:00,2018
4863973,4863973,2102,2018-07-13 23:00:00,17,23:00:00,2018
4863974,4863974,2102,2018-07-14 00:00:00,16,00:00:00,2018
4863975,4863975,2102,2018-07-14 01:00:00,3,01:00:00,2018
4863976,4863976,2102,2018-07-14 02:00:00,6,02:00:00,2018
4863977,4863977,2102,2018-07-14 03:00:00,2,03:00:00,2018
4863978,4863978,2102,2018-07-14 04:00:00,3,04:00:00,2018
4863979,4863979,2102,2018-07-14 05:00:00,2,05:00:00,2018
4863980,4863980,2102,2018-07-14 06:00:00,0,06:00:00,2018
4863981,4863981,2102,2018-07-14 07:00:00,0,07:00:00,2018
4863982,4863982,2102,2018-07-14 08:00:00,4,08:00:00,2018
4863983,4863983,2102,2018-07-14 09:00:00,0,09:00:00,2018
4863984,4863984,2102,2018-07-14 10:00:00,7,10:00:00,2018
4863985,4863985,2102,2018-07-14 11:00:00,3,11:00:00,2018
4863986,4863986,2102,2018-07-14 12:00:00,1,12:00:00,2018
4863987,4863987,2102,2018-07-14 13:00:00,3,13:00:00,2018
4863988,4863988,2102,2018-07-14 14:00:00,6,14:00:00,2018
4863989,4863989,2102,2018-07-14 15:00:00,1,15:00:00,2018
4863990,4863990,2102,2018-07-14 16:00:00,7,16:00:00,2018
4863991,4863991,2102,2018-07-14 17:00:00,7,17:00:00,2018
4863992,4863992,2102,2018-07-14 18:00:00,8,18:00:00,2018
4863993,4863993,2102,2018-07-14 19:00:00,15,19:00:00,2018
4863994,4863994,2102,2018-07-14 20:00:00,24,20:00:00,2018
4863995,4863995,2102,2018-07-14 21:00:00,34,21:00:00,2018
4863996,4863996,2102,2018-07-14 22:00:00,27,22:00:00,2018
4863997,4863997,2102,2018-07-14 23:00:00,15,23:00:00,2018
4863998,4863998,2102,2018-07-15 00:00:00,13,00:00:00,2018
4863999,4863999,2102,2018-07-15 01:00:00,13,01:00:00,2018
4864000,4864000,2102,2018-07-15 02:00:00,15,02:00:00,2018
4864001,4864001,2102,2018-07-15 03:00:00,7,03:00:00,2018
4864002,4864002,2102,2018-07-15 04:00:00,2,04:00:00,2018
4864003,4864003,2102,2018-07-15 05:00:00,3,05:00:00,2018
4864004,4864004,2102,2018-07-15 06:00:00,0,06:00:00,2018
4864005,4864005,2102,2018-07-15 07:00:00,0,07:00:00,2018
4864006,4864006,2102,2018-07-15 08:00:00,0,08:00:00,2018
4864007,4864007,2102,2018-07-15 09:00:00,3,09:00:00,2018
4864008,4864008,2102,2018-07-15 10:00:00,5,10:00:00,2018
4864009,4864009,2102,2018-07-15 11:00:00,3,11:00:00,2018
4864010,4864010,2102,2018-07-15 12:00:00,3,12:00:00,2018
4864011,4864011,2102,2018-07-15 13:00:00,6,13:00:00,2018
4864012,4864012,2102,2018-07-15 14:00:00,4,14:00:00,2018
4864013,4864013,2102,2018-07-15 15:00:00,7,15:00:00,2018
4864014,4864014,2102,2018-07-15 16:00:00,3,16:00:00,2018
4864015,4864015,2102,2018-07-15 17:00:00,5,17:00:00,2018
4864016,4864016,2102,2018-07-15 18:00:00,12,18:00:00,2018
4864017,4864017,2102,2018-07-15 19:00:00,18,19:00:00,2018
4864018,4864018,2102,2018-07-15 20:00:00,28,20:00:00,2018
4864019,4864019,2102,2018-07-15 21:00:00,18,21:00:00,2018
4864020,4864020,2102,2018-07-15 22:00:00,21,22:00:00,2018
4864021,4864021,2102,2018-07-15 23:00:00,8,23:00:00,2018
4864022,4864022,2102,2018-07-16 00:00:00,15,00:00:00,2018
4864023,4864023,2102,2018-07-16 01:00:00,7,01:00:00,2018
4864024,4864024,2102,2018-07-16 02:00:00,5,02:00:00,2018
4864025,4864025,2102,2018-07-16 03:00:00,1,03:00:00,2018
4864026,4864026,2102,2018-07-16 04:00:00,2,04:00:00,2018
4864027,4864027,2102,2018-07-16 05:00:00,1,05:00:00,2018
4864028,4864028,2102,2018-07-16 06:00:00,0,06:00:00,2018
4864029,4864029,2102,2018-07-16 07:00:00,1,07:00:00,2018
4864030,4864030,2102,2018-07-16 08:00:00,7,08:00:00,2018
4864031,4864031,2102,2018-07-16 09:00:00,3,09:00:00,2018
4864032,4864032,2102,2018-07-16 10:00:00,3,10:00:00,2018
4864033,4864033,2102,2018-07-16 11:00:00,1,11:00:00,2018
4864034,4864034,2102,2018-07-16 12:00:00,1,12:00:00,2018
4864035,4864035,2102,2018-07-16 13:00:00,0,13:00:00,2018
4864036,4864036,2102,2018-07-16 14:00:00,0,14:00:00,2018
4864037,4864037,2102,2018-07-16 15:00:00,3,15:00:00,2018
4864038,4864038,2102,2018-07-16 16:00:00,4,16:00:00,2018
4864039,4864039,2102,2018-07-16 17:00:00,5,17:00:00,2018
4864040,4864040,2102,2018-07-16 18:00:00,14,18:00:00,2018
4864041,4864041,2102,2018-07-16 19:00:00,17,19:00:00,2018
4864042,4864042,2102,2018-07-16 20:00:00,29,20:00:00,2018
4864043,4864043,2102,2018-07-16 21:00:00,40,21:00:00,2018
4864044,4864044,2102,2018-07-16 22:00:00,25,22:00:00,2018
4864045,4864045,2102,2018-07-16 23:00:00,10,23:00:00,2018
4864046,4864046,2102,2018-07-17 00:00:00,19,00:00:00,2018
4864047,4864047,2102,2018-07-17 01:00:00,10,01:00:00,2018
4864048,4864048,2102,2018-07-17 02:00:00,6,02:00:00,2018
4864049,4864049,2102,2018-07-17 03:00:00,4,03:00:00,2018
4864050,4864050,2102,2018-07-17 04:00:00,3,04:00:00,2018
4864051,4864051,2102,2018-07-17 05:00:00,1,05:00:00,2018
4864052,4864052,2102,2018-07-17 06:00:00,3,06:00:00,2018
4864053,4864053,2102,2018-07-17 07:00:00,2,07:00:00,2018
4864054,4864054,2102,2018-07-17 08:00:00,8,08:00:00,2018
4864055,4864055,2102,2018-07-17 09:00:00,3,09:00:00,2018
4864056,4864056,2102,2018-07-17 10:00:00,4,10:00:00,2018
4864057,4864057,2102,2018-07-17 11:00:00,1,11:00:00,2018
4864058,4864058,2102,2018-07-17 12:00:00,2,12:00:00,2018
